Loading data for Scheme A (cifar10)...
Starting training for 30 epochs.
Epoch 22: train_loss = 0.5010, val_acc = 0.7931, time = 8.58s
Epoch 23: train_loss = 0.4859, val_acc = 0.7954, time = 8.35s
Epoch 24: train_loss = 0.4835, val_acc = 0.7937, time = 8.46s
Epoch 25: train_loss = 0.4733, val_acc = 0.8052, time = 8.42s
Epoch 26: train_loss = 0.4671, val_acc = 0.7967, time = 8.37s
Epoch 27: train_loss = 0.4655, val_acc = 0.7998, time = 8.44s
Epoch 28: train_loss = 0.4620, val_acc = 0.8009, time = 8.40s
Epoch 29: train_loss = 0.4581, val_acc = 0.8005, time = 8.34s
Epoch 30: train_loss = 0.4567, val_acc = 0.7977, time = 8.50s
Saved A seed 3 model to models_cifar10/scheme_A/seed_3. Final val_acc=0.8006, best=0.8052
Loading data for Scheme A (cifar10)...
Starting training for 30 epochs.
Epoch 01: train_loss = 1.7050, val_acc = 0.4696, time = 9.46s
Epoch 02: train_loss = 1.3001, val_acc = 0.6203, time = 8.25s
Epoch 03: train_loss = 1.1223, val_acc = 0.6637, time = 8.35s
Epoch 04: train_loss = 1.0109, val_acc = 0.6539, time = 8.54s
Epoch 05: train_loss = 0.9521, val_acc = 0.7088, time = 8.46s
Epoch 06: train_loss = 0.8937, val_acc = 0.6825, time = 8.37s
Epoch 07: train_loss = 0.8470, val_acc = 0.7135, time = 8.53s
Epoch 08: train_loss = 0.8030, val_acc = 0.7388, time = 8.42s
Epoch 09: train_loss = 0.7734, val_acc = 0.7174, time = 8.47s
Epoch 10: train_loss = 0.7455, val_acc = 0.7410, time = 8.70s
Epoch 11: train_loss = 0.7156, val_acc = 0.7598, time = 9.45s
Epoch 12: train_loss = 0.6872, val_acc = 0.7627, time = 8.37s
Epoch 13: train_loss = 0.6594, val_acc = 0.7570, time = 8.45s
Epoch 14: train_loss = 0.6394, val_acc = 0.7786, time = 8.37s
Epoch 15: train_loss = 0.6232, val_acc = 0.7862, time = 8.43s
Epoch 16: train_loss = 0.6025, val_acc = 0.7745, time = 8.41s
Epoch 17: train_loss = 0.5814, val_acc = 0.7842, time = 8.38s
Epoch 18: train_loss = 0.5705, val_acc = 0.7869, time = 8.40s
Epoch 19: train_loss = 0.5566, val_acc = 0.7954, time = 8.42s
Epoch 20: train_loss = 0.5343, val_acc = 0.7858, time = 8.39s
Epoch 21: train_loss = 0.5221, val_acc = 0.7933, time = 8.39s
Epoch 22: train_loss = 0.5140, val_acc = 0.7912, time = 8.36s
Epoch 23: train_loss = 0.5068, val_acc = 0.7898, time = 8.35s
Epoch 24: train_loss = 0.4983, val_acc = 0.7918, time = 8.34s
Epoch 25: train_loss = 0.4885, val_acc = 0.8025, time = 8.50s
Epoch 26: train_loss = 0.4846, val_acc = 0.8001, time = 8.33s
Epoch 27: train_loss = 0.4821, val_acc = 0.7981, time = 8.38s
Epoch 28: train_loss = 0.4751, val_acc = 0.7976, time = 8.38s
Epoch 29: train_loss = 0.4738, val_acc = 0.7983, time = 8.43s
Epoch 30: train_loss = 0.4782, val_acc = 0.7990, time = 8.37s
Saved A seed 4 model to models_cifar10/scheme_A/seed_4. Final val_acc=0.8005, best=0.8025
Loading data for Scheme A (cifar10)...
Starting training for 30 epochs.
Epoch 01: train_loss = 1.7276, val_acc = 0.5036, time = 8.39s
Epoch 02: train_loss = 1.3460, val_acc = 0.5818, time = 8.37s
Epoch 03: train_loss = 1.1874, val_acc = 0.5986, time = 8.47s
Epoch 04: train_loss = 1.0828, val_acc = 0.6569, time = 8.54s
Epoch 05: train_loss = 1.0163, val_acc = 0.7031, time = 8.32s
Epoch 06: train_loss = 0.9578, val_acc = 0.6740, time = 8.42s
Epoch 07: train_loss = 0.9123, val_acc = 0.7174, time = 8.50s
Epoch 08: train_loss = 0.8736, val_acc = 0.7072, time = 8.33s
Epoch 09: train_loss = 0.8339, val_acc = 0.7103, time = 8.62s
Epoch 10: train_loss = 0.8083, val_acc = 0.7423, time = 8.38s
Epoch 11: train_loss = 0.7810, val_acc = 0.7346, time = 8.42s
Epoch 12: train_loss = 0.7511, val_acc = 0.7605, time = 8.41s
Epoch 13: train_loss = 0.7299, val_acc = 0.7557, time = 8.44s
Epoch 14: train_loss = 0.7089, val_acc = 0.7476, time = 8.55s
Epoch 15: train_loss = 0.6891, val_acc = 0.7662, time = 8.77s
Epoch 16: train_loss = 0.6722, val_acc = 0.7719, time = 9.04s
Epoch 17: train_loss = 0.6546, val_acc = 0.7746, time = 8.40s
Epoch 18: train_loss = 0.6346, val_acc = 0.7820, time = 8.38s
Epoch 19: train_loss = 0.6239, val_acc = 0.7771, time = 8.41s
Epoch 20: train_loss = 0.6053, val_acc = 0.7758, time = 8.41s
Epoch 21: train_loss = 0.5937, val_acc = 0.7771, time = 8.46s
Epoch 22: train_loss = 0.5883, val_acc = 0.7871, time = 8.35s
Epoch 23: train_loss = 0.5768, val_acc = 0.7865, time = 8.51s
